domain,status,affected_row_count
carrigmontessori.com,live,1
carsonmontessori.com,live,1
casabambino.com,live,1
casadeemontessori.com,live,3
casadeibambini.nl,live,1
casadeibambiniorzivecchi.it,live,1
casadeibambinivirgillito.com,live,1
casadeibambinizambia.com,live,1
casademontessori.com,live,1
casadimir.org,live,1
casamiamontessori.ca,live,1
casamiamontessori.wa.edu.au,live,1
casamontessori.co.nz,live,1
casamontessori.co.uk,live,1
casamontessori.com,live,1
casamontessorinursery.com,live,1
casaverams.com,live,1
cascadiaschool.org,live,1
casita-montessori.fr,live,1
castleislandmontessori.org,live,1
catent.nl,live,1
cattoiramontessori.com,live,1
cbmontessorischool.com,live,1
cbms.net,live,1
cc-montessori.org,live,1
ccm.nsw.edu.au,live,1
ccmaco.com,live,1
ccpsonline.net,live,2
cdeducation.org,live,2
cdsa.org,live,1
cedarparkmontessori.com,live,1
cedarrivermontessori.org,live,2
cemco.org,live,1
cemcs.org,live,1
centermontessori.org,live,1
centrosintonia.it,live,1
centurionmontessori.co.za,live,1
cfl.rr.com,live,1
cfmschool.org,live,1
cgmacademy.com,live,3
cgmontessori.com,live,2
cgmspoulsbo.com,live,1
chaminade.edu,live,1
chapelgrange.co.uk,live,1
charleston.k12.sc.us,live,4
charlestoncountyschools.gov,live,1
charlotteacademy.com,live,1
charlotteprep.org,live,1
cherryhillmontessori.com,live,1
chesapeake-montessori.com,live,1
chesapeakemontessorischool.com,live,2
chesterfieldmontessori.org,live,1
chestertonmontessori.com,live,1
chestnutgrovemontessori.com,live,1
chestnuthill.ie,live,1
chestnutmontessori.com,live,1
chestnutmontessori.school,live,1
chiaravalle.org,live,1
child-caremontessori.com,live,1
childpeace.org,live,1
childrenmontessori.org,live,1
childrenscirclemontessori.com,live,1
childrensdaymontessori.org,live,1
childrenshouse-montessori.com,live,1
childrenshousenashville.org,live,1
childrenshousepdx.com,live,1
childrenshouseschool.ie,live,1
childrensmagnet.com,live,2
childrensmla.com,live,1
childrensroom.net,live,1
childrensstudio.co.za,live,1
childrenstree.org,live,1
childrensworkshopwi.com,live,1
childsview.org,live,1
chisd.net,live,2
chiselmontessori.com,live,1
chmch.com.au,live,1
choiceschools.com,live,5
christopherushof.de,live,1
chrysalis.wa.edu.au,live,1
chubbycheeksnursery.com,live,2
cimm.es,live,1
citycountryschool.org,live,1
citygardenschool.org,live,2
cityheights.ac.nz,live,1
ckschools.org,live,1
clanmore.ca,live,1
clarendoncsd.org,live,1
claymontessori.in,live,1
clementinemontessori.org,live,1
clemsonmontessori.com,live,1
clevelandmetroschools.org,live,2
clevelandmontessori.org,live,1
climbingladders.com.au,live,1
clms.org,live,1
clover.k12.sc.us,live,1
clovermontessorischool.org,live,1
cloverschool.com,live,2
cmcharter.org,live,5
cmcsmontessori.com,live,1
cmmontessori.net,live,1
cmn.ae,live,1
cmpschools.com,live,2
cms.act.edu.au,live,1
cms.cardiff.sch.uk,live,1
cms.k12.nc.us,live,5
cms.qld.edu.au,live,1
cmschool.net,live,5
cmsnorman.org,live,1
cmteny.com,live,2
coastalmontessoricharter.org,live,1
coastmontessori.co.nz,live,1
cobhammontessori.co.uk,live,1
codetel.net.do,live,1
colegioanunciacion.com,live,1
colegiomontessori.com,live,1
college-montessori-grand-est.fr,live,1
collegemontessori.org,live,1
combiwelvoorkinderen.nl,live,1
comcast.net,live,26
communityhaven.org,live,1
compassk12.org,live,2
complutumschool.com,live,1
comprensivodonbosco.it,live,1
comune.bologna.it,live,1
comune.bolzano.it,live,1
comune.calcinato.bs.it,live,1
comune.mantova.it,live,2
comune.napoli.it,live,1
comune.recanati.mc.it,live,1
comune.verona.it,live,1
concordmontessorischool.org,live,1
conexus.nu,live,2
consentscholen.nl,live,2
coolkidsmontessori.co.nz,live,1
coolspringsmontessori.com,live,1
cooperativaarchimede.it,live,1
coopsansaturnino.org,live,3
cornerspringmontessori.com,live,1
cornerstone-elementary.org,live,1
cornerstonemontessori.net,live,1
cornerstoneschool.org,live,1
corvallismontessori.org,live,1
cotswoldmontessori.co.za,live,1
cottonwoodschool.org,live,1
counciloakmontessori.org,live,1
countrydaylargo.com,live,1
countrymontessori.org,live,1
countrysideday.org,live,1
courtyardpreschool.org.nz,live,1
cps-k12.org,live,3
cps.edu,live,5
cpsboe.k12.oh.us,live,5
cpsd.us,live,1
crateracademy.com,live,1
creativelearningacademy.org,live,2
creativemontessori.com,live,1
crec.org,live,1
creekstonemontessori.org,live,1
crescentcityschools.org,live,1
crestviewmontessori.com,live,1
crossway-community.org,live,2
crowley.k12.tx.us,live,1
csmontessori.com.au,live,1
cspschools.org,live,1
ctmlife.com,live,1
ctms.org.za,live,1
curlewmontessori.com,live,1
cvillemont.co.za,live,1
cvmontessori.org,live,1
cvms.org,live,1
cypressjunction.org,live,1
d11.org,live,1
dadeschools.net,live,4
dahliamontessorinj.org,live,1
daisycottage.co.nz,live,1
dakotamontessori.org,live,1
dalianursery.ae,live,1
dallasisd.org,live,8
dandelionmontessori.org,live,1
dariolo.com,live,1
darlington.k12.sc.us,live,1
darun-naim.co.za,live,1
davincimontessori.com,live,1
daytonpublic.com,live,2
dcsdk12.org,live,2
de-ams.nl,live,1
de-trinoom.nl,live,1
dearbornschools.org,live,1
dearcroft-montessori.com,live,1
dearcroftmontessori.com,live,3
decaturmontessori.com,live,1
declipper.nl,live,1
decoloresschool.org,live,1
degoudenkraal.nl,live,1
dekalbschoolsga.org,live,2
dekleineprins.nl,live,1
deltaschools.com,live,1
depinksterbloem.nl,live,1
deplotter.com,live,1
descholekster.nl,live,1
desertgardenmontessori.org,live,1
detroitk12.org,live,3
devleugel.net,live,1
dgmontessori.org,live,1
dhmontessori.org,live,1
dhms.nl,live,1
diakonie-wl.de,live,1
diakoniewerk-son-hbn.de,live,1
diamanteschool.org,live,1
discover-montessori.com,live,1
discover-montessori.org,live,1
discovercece.org,live,1
discoverybayelc.com.au,live,6
discoveryhousemontessori.com,live,1
discoverymontessori.ca,live,1
discoverymontessori.org,live,1
discoverymontessoriga.com,live,1
discoverymontessorischool.org,live,1
discoverywoods.com,live,1
districtmontessori.org,live,1
divinemontessori.co.za,live,1
dixonmontessori.org,live,1
diyamontessori.in,live,1
dmschools.org,live,3
domain.com,live,3
donvalemontessori.vic.edu.au,live,1
dovesmontessori.com,live,1
downtownmontessori.com,live,1
dps61.org,live,1
dpsk12.net,live,5
dpsk12.org,live,2
dpsnc.net,live,5
drachenschuleodenwald.de,live,1
dreamersnest.org,live,1
dsg-schule.de,live,1
dsmontessori.org,live,1
dsmschool.co.za,live,1
dtms76.ca,live,4
duesseldorf.de,live,2
duhovkaskola.cz,live,1
dukesbridge.com,live,1
dupageschool.org,live,1
duvalschools.org,live,2
dvms.ca,live,1
eac.com.br,live,1
eaglepeakmontessori.org,live,1
earthlink.net,live,4
ease-clinic.jp,live,1
eastlakemontessori.org,live,1
eastyorkmontessori.com,live,1
ebrschools.org,live,2
ecasd.us,live,1
echinaceamontessori.org,live,1
eclimontessori.org,live,1
ecole-emma.fr,live,2
ecole-jedenfants.fr,live,1
ecole-montessori-andresy.com,live,1
ecole-montessori-colibris.com,live,4
ecole-montessori-melun.fr,live,1
ecole-montessori-rueil.fr,live,1
ecole-montessori-savoie.fr,live,1
ecoledescolibris.fr,live,1
ecoledupetitchemin.fr,live,1
ecolelestournesols.com,live,1
ecolelezephyr.fr,live,1
ecolemontessori-arbredevie.fr,live,1
ecolemontessori-avignon.org,live,1
ecolemontessori-internationale-salondeprovence.com,live,1
ecolemontessori.fr,live,1
ecolemontessori.sn,live,1
ecolemontessoriartois.org,live,1
ecolemontessoridubassin.fr,live,1
ecolemontessorilarochelle.fr,live,1
ecolemontessorimarmandais.com,live,1
